report_number,accident_year,accident_date,operator_id,operator_name,pipeline_location,pipeline_type,liquid_type,accident_city,accident_county,accident_state,accident_latitude,accident_longitude,cause_category,unintentional_release,intentional_release,liquid_recover,net_loss,liquid_ignition,liquid_explosion,pipeline_shutdown,public_evacuations,all_injuries,all_fatalities,property_damage_costs,lost_commodity_costs,public_private_property_damage_costs,emergency_response_costs,environmental_remediation_costs,other_costs,all_costs,close_time
20120207,2012,2012-06-06T06:05:00Z,32602,OXY USA INC,ONSHORE,UNDERGROUND,CRUDE OIL,COMMERCE,LOS ANGELES,CA,34.00551,-118.14477,CORROSION,0.6,0,0.4,0.2,NO,NO,YES,0,0,0,8000,48,0,5000,1000,2500,16548,8805
20120204,2012,2012-06-06T14:45:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,WINK,WINKLER,TX,31.7918,-103.13161,INCORRECT OPERATION,15,NA,15,0,NO,NO,YES,0,0,0,4000,950,0,2500,0,0,7450,75
20120197,2012,2012-06-08T07:42:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,TANK,CRUDE OIL,ST. JAMES,ST. JAMES,LA,30.008992,-90.854975,NATURAL FORCE DAMAGE,10,0,10,0,NO,NO,NA,0,0,0,50000,0,0,5000,0,0,55000,0
20120200,2012,2012-06-08T09:05:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MORAN,ALLEN,KS,37.93455,-95.243912,MATERIAL/WELD/EQUIP FAILURE,304,0,213,91,NO,NO,YES,NA,0,0,100000,34984,20000,97534,700000,0,952518,1499
20150251,2012,2012-06-09T11:45:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HANKAMER,CHAMBERS,TX,29.859222,-94.561908,INCORRECT OPERATION,0.1,NA,0,0.1,YES,NO,NO,0,0,0,0,0,0,100,0,0,100,0
20120205,2012,2012-06-11T08:00:00Z,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,"JONES CREEK, TX",BRAZORIA,TX,28.949672,-95.431631,MATERIAL/WELD/EQUIP FAILURE,0.25,0,0.25,0,NO,NO,NO,NA,0,0,1000,25,0,500,2000,0,3525,0
20120211,2012,2012-06-11T19:47:00Z,12470,MID - VALLEY PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,MAYERSVILLE,ISSAQUENA,MS,32.87718,-91.05218,MATERIAL/WELD/EQUIP FAILURE,0.19,0,0.19,0,NO,NO,YES,0,0,0,3000,0,0,500,0,0,3500,223
20120212,2012,2012-06-12T12:20:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,BROWNFIELD,TERRY,TX,33.17535,-102.23929,EXCAVATION DAMAGE,20,NA,20,0,NO,NO,YES,0,0,0,4000,475,0,3000,0,0,7475,460
20120209,2012,2012-06-12T14:00:00Z,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,WEST COLUMBIA,BRAZORIA,TX,29.145494,-95.674314,CORROSION,8,NA,7,1,NO,NO,YES,NA,0,0,3000,800,0,1000,21753,0,26553,0
20120206,2012,2012-06-13T07:00:00Z,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,TANK,CRUDE OIL,"JONES CREEK, TX",BRAZORIA,TX,28.950953,-95.432542,MATERIAL/WELD/EQUIP FAILURE,1,0,0.5,0.5,NO,NO,YES,NA,0,0,1500,100,0,500,3100,0,5200,1490
20120214,2012,2012-06-13T13:00:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,WILSON,CARTER,OK,34.1897222,-97.3761111,CORROSION,0.48,0,0.48,0,NO,NO,YES,0,0,0,0,0,0,2750,500,0,3250,24060
20120202,2012,2012-06-15T15:50:00Z,31476,ROSE ROCK MIDSTREAM L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,EL DORADO,BUTLER,KS,37.7958,-96.72309,CORROSION,60,0,58,2,NO,NO,YES,0,0,0,6020,200,2500,10500,8500,16000,43720,5290
20120215,2012,2012-06-17T05:52:00Z,1845,"BUCKEYE PARTNERS, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EMMAUS,LEHIGH,PA,40.514382,-75.532567,INCORRECT OPERATION,100,0,26.5,73.5,NO,NO,NO,0,0,0,0,0,0,0,60000,27000,87000,0
20120222,2012,2012-06-19T14:50:00Z,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,ONSHORE,TANK,CRUDE OIL,BEAUMONT,JEFFERSON,TX,29.997663,-94.076706,CORROSION,250,0,0,250,NO,NO,YES,0,0,0,0,0,0,130000,0,0,130000,0
20120208,2012,2012-06-20T10:27:00Z,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,LA GRANGE,FAYETTE,TX,29.952222,-96.861139,MATERIAL/WELD/EQUIP FAILURE,1,0,0.2,0.8,NO,NO,YES,NA,0,0,2500,100,0,0,2856,0,5456,295
20120216,2012,2012-06-20T11:07:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,ABOVEGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.4813,-94.8373,CORROSION,0.12,0,0,0.12,NO,NO,NO,0,0,0,2500,9,0,400,0,0,2909,0
20120210,2012,2012-06-21T10:00:00Z,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ANDOVER,BUTLER,KS,37.721901,-97.147138,CORROSION,5.69,0,5.69,0,NO,NO,YES,0,0,0,5000,250,91411,50000,5000,0,151661,102000
20120213,2012,2012-06-22T13:15:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BURLINGTON,KIT CARSON,CO,39.08605,-102.46611,MATERIAL/WELD/EQUIP FAILURE,0.36,0,0.36,0,NO,NO,NO,NA,0,0,500,55,0,0,500,0,1055,0
20120219,2012,2012-06-23T08:30:00Z,18386,BP OIL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CLEVELAND,CUYAHOGA,OH,41.435852,-81.668922,INCORRECT OPERATION,23.5,0,23.5,0,NO,NO,NO,0,0,0,0,4000,0,9000,46000,0,59000,0
20120221,2012,2012-06-25T07:30:00Z,4805,EXPLORER PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LEBANON,LACLEDE,MO,37.75877757,-92.67267003,MATERIAL/WELD/EQUIP FAILURE,0.2,0,0.2,0,NO,NO,YES,0,0,0,17000,20,0,18000,0,0,35020,1244
20120218,2012,2012-06-25T16:04:00Z,31476,ROSE ROCK MIDSTREAM L.P.,ONSHORE,ABOVEGROUND,CRUDE OIL,REECE,GREENWOOD,KS,37.80389,-96.51428,MATERIAL/WELD/EQUIP FAILURE,142,0,140,2,NO,NO,YES,0,0,0,200,200,0,1500,5000,0,6900,1135
20120220,2012,2012-06-27T13:30:00Z,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",THROCKMORTON (RURAL),THROCKMORTON,TX,33.247889,-98.792389,EXCAVATION DAMAGE,465,0,0,465,NO,NO,YES,0,0,0,11500,68000,0,5500,150000,0,235000,912
20120227,2012,2012-07-02T14:15:00Z,4805,EXPLORER PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HOUSTON,HARRIS,TX,29.81987246,-95.15331796,CORROSION,2.4,0,2.4,0,NO,NO,NO,0,0,0,3500,0,0,14000,0,0,17500,0
20120217,2012,2012-07-02T18:05:00Z,31888,CENTURION PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,ROOSEVELT,KIOWA,OK,34.84251,-99.13711,EXCAVATION DAMAGE,211,NA,10,201,NO,NO,NO,0,0,0,90000,19000,8000,50000,136000,0,303000,0
20120224,2012,2012-07-03T22:30:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MARTINEZ,CONTRA COSTA,CA,38.025394,-122.129423,MATERIAL/WELD/EQUIP FAILURE,13,0,13,0,NO,NO,NO,NA,0,0,1000,0,0,25000,75000,75000,176000,0
20120223,2012,2012-07-05T16:30:00Z,30755,CITGO PRODUCTS PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NA,NA,TX,28.809202,-96.978674,ALL OTHER CAUSES,0.48,0,0.24,0.24,NO,NO,NO,0,0,0,1500,100,0,0,8000,0,9600,0
20120229,2012,2012-07-06T11:12:00Z,31888,CENTURION PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LOVINGTON,LEA,NM,33.05365,-103.59627,EXCAVATION DAMAGE,4,0,0,4,NO,NO,NA,0,0,0,0,0,0,1000,11000,1000,13000,0
20120225,2012,2012-07-06T14:15:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,ABOVEGROUND,CRUDE OIL,CORSICANA,NAVARRO,TX,32.0729,-96.4767,CORROSION,0.12,0,0,0.12,NO,NO,NO,0,0,0,0,12,0,125,1000,0,1137,0
20120226,2012,2012-07-07T08:15:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,KURTEN,BRAZOS,TX,30.79796,-96.27369,CORROSION,2,0,0,2,NO,NO,YES,0,0,0,15500,162,0,500,2000,0,18162,645
20120228,2012,2012-07-12T11:55:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,KURTEN,BRAZOS,TX,30.80147,-96.28436,CORROSION,0.12,0,0.12,0,NO,NO,YES,0,0,0,18000,0,0,0,0,0,18000,945
20120232,2012,2012-07-13T11:30:00Z,1845,"BUCKEYE PARTNERS, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EMMAUS,LEHIGH,PA,40.513554,-75.53238,CORROSION,8.7,NA,0.02,8.68,NO,NO,NO,0,0,0,370115,0,0,10423,0,0,380538,0
20120233,2012,2012-07-15T11:00:00Z,31476,ROSE ROCK MIDSTREAM L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,HUDSON,STAFFORD,KS,38.09496,-98.58163,MATERIAL/WELD/EQUIP FAILURE,99,0,93,6,NO,NO,YES,0,0,0,100,500,0,3500,6000,0,10100,276
20120234,2012,2012-07-16T09:33:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LAKE CHARLES,CALCASIEU,LA,30.1571,-93.0463,MATERIAL/WELD/EQUIP FAILURE,15.67,0,0,15.67,YES,NO,YES,0,0,0,500000,850,0,5000,0,0,505850,205
20120238,2012,2012-07-17T10:40:00Z,22430,WEST SHORE PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",JACKSON,WASHINGTON,WI,43.297089,-88.130513,MATERIAL/WELD/EQUIP FAILURE,1302,0,482,820,NO,NO,YES,4,0,0,313944,100000,0,10058698,6941133,5809733,23223508,6255
20120235,2012,2012-07-19T15:00:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CLINTON,EAST FELICIANA,LA,30.90944,-90.87166,INCORRECT OPERATION,0.36,0,0.36,0,NO,NO,NA,NA,0,0,0,50,0,2700,0,0,2750,0
20120237,2012,2012-07-19T16:50:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,TANK,CRUDE OIL,ST. JAMES,ST. JAMES,LA,30.15683,-90.853719,INCORRECT OPERATION,50,0,50,0,NO,NO,NO,NA,0,0,10000,0,0,5000,0,0,15000,0
20120231,2012,2012-07-20T04:00:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SEMINOLE,GAINES,TX,32.779328,-102.950633,MATERIAL/WELD/EQUIP FAILURE,6.3,6,0,6.3,NO,NO,YES,0,0,0,3000,245,0,0,0,0,3245,480
20120239,2012,2012-07-21T07:03:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,WAMSUTTER,SWEETWATER,WY,41.6872222,-107.9802778,MATERIAL/WELD/EQUIP FAILURE,3,0,3,0,NO,NO,YES,0,0,0,100,200,0,4000,0,0,4300,295
20120240,2012,2012-07-21T17:35:00Z,2731,CHEVRON PIPE LINE CO,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PORT ARTHUR,JEFFERSON,TX,29.8964,-94.0054,NATURAL FORCE DAMAGE,3117,0,0,3117,YES,YES,YES,150,0,0,450500,173004,0,255000,200000,83500,1162004,41140
20120242,2012,2012-07-23T03:30:00Z,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,40.52243,-74.25384,ALL OTHER CAUSES,16,0,16,0,NO,NO,YES,NA,0,0,1800000,500,0,0,20000,0,1820500,1770
20120236,2012,2012-07-23T10:00:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,TRANSITION AREA,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",STATEN ISLAND,RICHMOND,NY,40.6246,-74.19254,MATERIAL/WELD/EQUIP FAILURE,27.4,0,27.4,0,NO,NO,YES,NA,0,0,10000,3900,0,40000,8500,0,62400,497
20120245,2012,2012-07-23T20:00:00Z,30959,THE DOW CHEMICAL COMPANY,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",FREEPORT,BRAZORIA,TX,28.9598,-95.31151,CORROSION,132,0,0,132,NO,NO,NO,0,0,0,2000000,13980,0,200000,4000000,0,6213980,0
20120230,2012,2012-07-24T00:00:00Z,31947,ENBRIDGE PIPELINES (OZARK) L.L.C.,ONSHORE,UNDERGROUND,CRUDE OIL,CUSHING,PAYNE,OK,35.95885,-96.75655,CORROSION,1,0,1,0,NO,NO,NO,0,0,0,25000,100,0,1500,1000,0,27600,0
20120244,2012,2012-07-24T12:52:00Z,22855,"KOCH PIPELINE COMPANY, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,MENAHGA,HUBBARD,MN,46.81973992,-95.14887905,MATERIAL/WELD/EQUIP FAILURE,1,0,0.91,0.09,NO,NO,YES,0,0,0,23877,80,0,0,11068,0,35025,1711
20120241,2012,2012-07-25T07:00:00Z,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VALLEY CENTER,SEDGWICK,KS,37.81841,-97.37093,MATERIAL/WELD/EQUIP FAILURE,0.12,0,0.12,0,NO,NO,NO,NA,0,0,1000,20,0,0,50,1000,2070,0
20120243,2012,2012-07-26T14:15:00Z,30777,MOTIVA ENTERPRISE LLC,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PORT ARTHUR TEXAS,JEFFERSON,TX,29.51419,-93.5739,CORROSION,0.2,0,0.2,0,NO,NO,YES,0,0,0,26000,0,0,0,10000,0,36000,45630
20120246,2012,2012-07-27T06:41:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BEAUMONT,JEFFERSON,TX,29.97504,-94.05633,INCORRECT OPERATION,0.83,0,0.79,0.04,NO,NO,YES,NA,0,0,0,92,0,5000,0,0,5092,254
20120248,2012,2012-07-27T14:41:00Z,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,GRAND MARSH,ADAMS,WI,43.895611,-89.638236,MATERIAL/WELD/EQUIP FAILURE,1729,0,1100,629,NO,NO,YES,5,0,0,1510369,133133,1027158,623877,1680707,39164,5014408,15695
20120247,2012,2012-07-30T07:25:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CLIFTON,FAIRFAX,VA,38.834923,-77.399801,MATERIAL/WELD/EQUIP FAILURE,0.95,0,0.95,0,NO,NO,NO,NA,0,0,500,120,0,10000,4000,0,14620,0
20120249,2012,2012-08-01T04:56:00Z,32099,ENERGY TRANSFER COMPANY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",COYANOSA,PECOS,TX,31.19309,-102.98994,MATERIAL/WELD/EQUIP FAILURE,217,0,0,217,NO,NO,YES,0,0,0,25,8840,0,60,0,0,8925,70
20120254,2012,2012-08-02T21:20:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ORAN,SCOTT,MO,37.070361,-89.63841,MATERIAL/WELD/EQUIP FAILURE,1,0,0,1,NO,NO,YES,0,0,0,7395,53,0,8012,0,0,15460,430
20120250,2012,2012-08-03T12:00:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,ABOVEGROUND,CRUDE OIL,SOUR LAKE,HARDIN,TX,30.1457,-94.4076,CORROSION,0.36,0,0,0.36,NO,NO,NO,0,0,0,0,40,0,3000,2000,0,5040,0
20120252,2012,2012-08-05T04:15:00Z,26085,"PLAINS MARKETING, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.9361111,-96.7380556,MATERIAL/WELD/EQUIP FAILURE,1,0,1,0,NO,NO,NO,0,0,0,15000,0,0,5000,0,0,20000,0
20120251,2012,2012-08-06T10:53:00Z,26085,"PLAINS MARKETING, L.P.",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SUPERIOR,DOUGLAS,WI,46.41428,-92.03609,MATERIAL/WELD/EQUIP FAILURE,0.24,0,0,0.24,NO,NO,YES,0,0,0,9500,0,0,25000,0,0,34500,2720
20120253,2012,2012-08-07T13:30:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BOLIGEE,GREENE,AL,32.78111,-88.04631,MATERIAL/WELD/EQUIP FAILURE,0.21,0,0.21,0,NO,NO,YES,NA,0,0,100,30,0,7000,13000,0,20130,276
20120257,2012,2012-08-08T15:00:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SANTE FE,GALVESTON,TX,29.3786,-95.1101,MATERIAL/WELD/EQUIP FAILURE,0.44,0,0,0.44,NO,NO,YES,0,0,0,500,50,0,0,0,0,550,224
20120259,2012,2012-08-09T13:28:00Z,22855,"KOCH PIPELINE COMPANY, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,INGLESIDE,SAN PATRICIO,TX,27.826919,-97.198572,INCORRECT OPERATION,24.2,0,24.2,0,NO,NO,YES,0,0,0,937,2100,0,82641,0,0,85678,698
20120266,2012,2012-08-15T13:04:00Z,2731,CHEVRON PIPE LINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ONTARIO,MALHEUR,OR,44.069,-116.98,MATERIAL/WELD/EQUIP FAILURE,0.5,0,0.5,0,NO,NO,YES,6,0,0,75494,50,0,0,0,0,75544,394
20120262,2012,2012-08-15T13:33:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,SOUR LAKE,HARDIN,TX,30.16414,-94.43055,CORROSION,3,0,0,3,NO,NO,YES,0,0,0,4387,300,0,4321,3445,0,12453,357
20120264,2012,2012-08-15T18:15:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,HOBBS,LEA,NM,32.655,-103.1375,CORROSION,4,0,4,0,NO,NO,YES,0,0,0,6500,300,0,600,0,0,7400,105
20120256,2012,2012-08-17T18:30:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AUSTELL,COBB,GA,33.85596,-84.62949,CORROSION,1.38,0,1.26,0.12,NO,NO,YES,NA,0,0,1750,170,0,23250,2000,0,27170,935
20120255,2012,2012-08-18T21:00:00Z,31684,PHILLIPS 66 PIPELINE LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KANSAS CITY,WYANDOTTE,KS,39.12889,-94.60709,MATERIAL/WELD/EQUIP FAILURE,0.4,0,0,0.4,NO,NO,NA,NA,0,0,500,50,0,0,500,0,1050,0
20120268,2012,2012-08-19T07:30:00Z,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,SHARON HILL,DELAWARE,PA,39.8955,-75.25948,CORROSION,4.14,0,4.14,0,NO,NO,YES,0,0,0,0,0,0,0,46000,0,46000,2070
20120261,2012,2012-08-19T22:30:00Z,32109,"ONEOK NGL PIPELINE, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ORLANDO,NOBLE,OK,36.17115,-97.432256,MATERIAL/WELD/EQUIP FAILURE,0.5,0.1,0,0.5,NO,NO,NO,0,0,0,925,16,0,50,0,0,991,0
20120267,2012,2012-08-20T08:30:00Z,26061,"DELEK PIPELINE TEXAS, INC",ONSHORE,UNDERGROUND,CRUDE OIL,WHITE OAK,GREGG,TX,32.28877,-94.50289,CORROSION,5,0,0,5,NO,NO,YES,0,0,0,5200,500,0,0,16000,0,21700,180
20120270,2012,2012-08-20T15:45:00Z,4906,EXXONMOBIL PIPELINE CO,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",BAYTOWN,HARRIS,TX,29.764311,-94.982056,MATERIAL/WELD/EQUIP FAILURE,0.25,0,0,0.25,NO,NO,YES,0,0,0,10000,50,0,20000,0,100000,130050,7110
20120273,2012,2012-08-22T10:00:00Z,32147,MARATHON PIPE LINE LLC,ONSHORE,TANK,CRUDE OIL,WOOD RIVER,MADISON,IL,38.851604,-90.087322,INCORRECT OPERATION,25,0,25,0,NO,NO,NO,0,0,0,476000,1980,0,0,189000,0,666980,0
20120272,2012,2012-08-22T19:15:00Z,26099,TAMPA BAY PIPELINE CO.,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LITHIA,HILLSBOROUGH,FL,27.8608333,-82.1983333,MATERIAL/WELD/EQUIP FAILURE,0.1,7,0,0.1,NO,NO,YES,0,0,0,100000,500,30000,50000,5000,0,185500,26883
20120271,2012,2012-08-23T10:45:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,KAYCEE,JOHNSON,WY,43.8516667,-106.4083333,MATERIAL/WELD/EQUIP FAILURE,0.36,0,0.36,0,NO,NO,YES,0,0,0,3000,0,0,3000,0,0,6000,1515
20120260,2012,2012-08-23T14:47:00Z,32147,MARATHON PIPE LINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,EFFINGHAM,EFFINGHAM,IL,39.060075,-88.495556,INCORRECT OPERATION,0.2,0,0.2,0,NO,NO,NO,0,0,0,89878,20,0,15504,0,0,105402,0
20120263,2012,2012-08-23T22:35:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PORT ARTHUR,JEFFERSON,TX,29.911491,-94.008985,CORROSION,5,0,2,3,NO,NO,YES,0,0,0,35000,1500,0,215000,250000,0,501500,7945
20120274,2012,2012-08-25T12:15:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,KAYCEE,JOHNSON,WY,43.8516667,-106.4083333,MATERIAL/WELD/EQUIP FAILURE,20,NA,20,0,NO,NO,YES,0,0,0,3000,0,0,4000,9000,0,16000,1545
20120275,2012,2012-08-27T02:41:00Z,22430,WEST SHORE PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PALOS PARK,COOK,IL,41.68140797,-87.82598113,INCORRECT OPERATION,704,0,685,19,NO,NO,YES,0,0,0,160000,2000,0,2726171,2555000,580000,6023171,30679
20120283,2012,2012-08-27T05:15:00Z,31684,PHILLIPS 66 PIPELINE LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,UTICA,JUDITH BASIN,MT,46.49535,-110.061642,MATERIAL/WELD/EQUIP FAILURE,0.36,0,0.36,0,NO,NO,NO,0,0,0,0,0,0,0,0,250,250,0
20120269,2012,2012-08-29T13:48:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ATLANTA,COWLEY,KS,37.495186,-96.813234,MATERIAL/WELD/EQUIP FAILURE,0.1,NA,0,0.1,NO,NO,YES,0,0,0,58000,0,0,6000,0,15000,79000,1238
20120276,2012,2012-08-30T10:45:00Z,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BEAUMONT,JEFFERSON,TX,29.97583,-94.05681,INCORRECT OPERATION,1.19,0,1.19,0,NO,NO,NO,NA,0,0,0,200,0,20000,0,0,20200,0
20120277,2012,2012-08-31T11:33:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,METTLER,KERN,CA,35.059321,-119.064098,MATERIAL/WELD/EQUIP FAILURE,15,NA,15,0,NO,NO,YES,0,0,0,375,0,0,2000,0,0,2375,342
20120258,2012,2012-08-31T17:00:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,FOURCHON,LAFOURCHE,LA,29.1049,-90.1919,NATURAL FORCE DAMAGE,1,0,1,0,NO,NO,NO,0,0,0,0,110,0,1000,0,0,1110,0
20120265,2012,2012-08-31T17:20:00Z,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",CHEEK,JEFFERSON,TX,29.955034,-94.24222,MATERIAL/WELD/EQUIP FAILURE,2,3,0,2,YES,NO,YES,0,0,0,50000,168,0,2500,0,0,52668,1677
